Customer ID,Customer Name,Age,Gender,Location,Marital Status,Designation,Email ID,Purchased Product Type,Earning,Earning Potential,Spending Limit,Marketing Costs,Revenue,Net Profit
2457,Susan Hawkins,37,Male,Danielleland,Single,Amenity horticulturist,savannahbaker@example.com,Clothing,7800,11800,25900,2500,9500,8100
4710,Edward Trujillo,30,Male,North Taylorton,Married,Retail merchandiser,kathy69@example.org,Clothing,5600,13600,23900,14400,15500,19300
8398,Hayley Wolfe,40,Male,North Ambershire,Widowed,"Exhibitions officer, museum/gallery",paul39@example.com,Appliances,12000,21100,39700,1800,6100,9600
7475,Toni Howell,38,Other,North Tonyland,Single,Furniture conservator/restorer,jenningsmckenzie@example.org,Electronics,11200,20900,35500,2900,10500,6100
9967,John Macdonald,59,Male,Newmanton,Widowed,Production manager,melissa54@example.net,Clothing,10700,16900,28600,2200,10000,9800
7045,Jaime Henderson,18,Other,Elizabethview,Single,Records manager,sarah87@example.net,Electronics,8500,15400,33200,1100,7200,7100
1787,Mitchell Bennett,57,Male,West Davidfurt,Widowed,Oncologist,mario35@example.net,Books,7600,8000,21000,11500,20500,20800
7989,Deborah Pierce,62,Male,Cindyberg,Divorced,"Radiographer, diagnostic",alvarezmelissa@example.com,Other,18900,26800,46700,4500,4800,9800
3502,Charles Miles,33,Other,Cherylbury,Divorced,Translator,simpsontamara@example.net,Electronics,7200,8000,20700,6900,12400,16100
5664,Jose Harris,63,Other,Jeffreyshire,Married,Arboriculturist,vmedina@example.org,Appliances,15800,18800,42300,2700,11000,10000
4019,Robin Young,52,Female,Sarahville,Married,Retail merchandiser,aliciamoore@example.com,Clothing,5800,13800,21900,4800,6900,8900
7653,Maria Gould,38,Female,East Laura,Married,Pharmacologist,vmcknight@example.net,Clothing,5700,14400,27000,1200,8900,4500
3363,Gary Gomez,39,Female,Michaelville,Married,Recycling officer,dianalopez@example.org,Electronics,7300,10900,21900,6500,12000,7100
2838,Danielle Morales,46,Other,Lake Jillshire,Divorced,Purchasing manager,galvanjennifer@example.net,Appliances,10500,13400,28000,13900,15900,20400
2903,Lisa Nielsen,35,Other,North Gary,Widowed,"Investment banker, operational",philip90@example.com,Furniture,10900,20400,32600,12600,13200,11400
3788,Joshua Jackson DDS,22,Female,East Benjamin,Widowed,"Lecturer, higher education",jasonsanders@example.com,Books,17900,19000,37900,10500,11700,9200
5284,Yolanda Rodriguez,47,Female,Salinasfort,Widowed,Printmaker,tinamunoz@example.net,Books,5600,11100,20800,2500,6700,9600
7326,Steven Fleming,36,Female,New Lauraport,Divorced,Chiropractor,olester@example.net,Books,19300,20500,48200,13300,15900,20800
