Customer ID,Customer Name,Age,Gender,Location,Latitude,Longitude,Marital Status,Designation,Email ID,Purchased Product Type,Earning,Earning Potential,Marketing Costs,Revenue,Net Profit
2457,Susan Hawkins,37,Male,Danielleland,NULL,NULL,Single,Amenity horticulturist,savannahbaker@example.com,Clothing,7800,11800,2500,9500,8100
4710,Edward Trujillo,30,Male,North Taylorton,NULL,NULL,Married,Retail merchandiser,kathy69@example.org,Clothing,5600,13600,14400,15500,19300
8398,Hayley Wolfe,40,Male,North Ambershire,NULL,NULL,Widowed,"Exhibitions officer, museum/gallery",paul39@example.com,Appliances,12000,21100,1800,6100,9600
7475,Toni Howell,38,Other,North Tonyland,NULL,NULL,Single,Furniture conservator/restorer,jenningsmckenzie@example.org,Electronics,11200,20900,2900,10500,6100
9967,John Macdonald,59,Male,Newmanton,NULL,NULL,Widowed,Production manager,melissa54@example.net,Clothing,10700,16900,2200,10000,9800
7045,Jaime Henderson,18,Other,Elizabethview,NULL,NULL,Single,Records manager,sarah87@example.net,Electronics,8500,15400,1100,7200,7100
1787,Mitchell Bennett,57,Male,West Davidfurt,NULL,NULL,Widowed,Oncologist,mario35@example.net,Books,7600,8000,11500,20500,20800
7989,Deborah Pierce,62,Male,Cindyberg,NULL,NULL,Divorced,"Radiographer, diagnostic",alvarezmelissa@example.com,Other,18900,26800,4500,4800,9800
3502,Charles Miles,33,Other,Cherylbury,NULL,NULL,Divorced,Translator,simpsontamara@example.net,Electronics,7200,8000,6900,12400,16100
5664,Jose Harris,63,Other,Jeffreyshire,NULL,NULL,Married,Arboriculturist,vmedina@example.org,Appliances,15800,18800,2700,11000,10000
4019,Robin Young,52,Female,Sarahville,NULL,NULL,Married,Retail merchandiser,aliciamoore@example.com,Clothing,5800,13800,4800,6900,8900
7653,Maria Gould,38,Female,East Laura,NULL,NULL,Married,Pharmacologist,vmcknight@example.net,Clothing,5700,14400,1200,8900,4500
3363,Gary Gomez,39,Female,Michaelville,NULL,NULL,Married,Recycling officer,dianalopez@example.org,Electronics,7300,10900,6500,12000,7100
2838,Danielle Morales,46,Other,Lake Jillshire,NULL,NULL,Divorced,Purchasing manager,galvanjennifer@example.net,Appliances,10500,13400,13900,15900,20400
2903,Lisa Nielsen,35,Other,North Gary,NULL,NULL,Widowed,"Investment banker, operational",philip90@example.com,Furniture,10900,20400,12600,13200,11400
3788,Joshua Jackson DDS,22,Female,East Benjamin,NULL,NULL,Widowed,"Lecturer, higher education",jasonsanders@example.com,Books,17900,19000,10500,11700,9200
5284,Yolanda Rodriguez,47,Female,Salinasfort,NULL,NULL,Widowed,Printmaker,tinamunoz@example.net,Books,5600,11100,2500,6700,9600
7326,Steven Fleming,36,Female,New Lauraport,NULL,NULL,Divorced,Chiropractor,olester@example.net,Books,19300,20500,13300,15900,20800
5672,Mr. Eric Smith,37,Male,Port Johnnyland,NULL,NULL,Widowed,"Lecturer, higher education",msmith@example.org,Other,10000,19700,13400,15800,16400
3437,Ronald Byrd,39,Male,Lake Lori,NULL,NULL,Widowed,Volunteer coordinator,pmoore@example.net,Appliances,18900,27000,1400,6600,4400
4724,Tiffany Keller,36,Other,New Todd,NULL,NULL,Single,Technical author,johnrandall@example.com,Clothing,15700,24700,1100,10000,13100
9754,Michael Lynch,60,Other,Davenportton,NULL,NULL,Widowed,Warehouse manager,kristina85@example.com,Electronics,10600,11800,14600,21600,25600
1857,Mallory Hicks,28,Female,Snowchester,NULL,NULL,Married,Midwife,savagemary@example.com,Books,16400,22000,11500,20700,24700
2092,Gloria Marshall,56,Male,East Anthonyfort,NULL,NULL,Single,Armed forces technical officer,wilsonryan@example.org,Furniture,20000,22100,1300,10600,13800
4767,Mary Barnett,40,Other,Matthewmouth,NULL,NULL,Single,"Administrator, sports",allen82@example.net,Books,12100,20900,1400,8300,8000
9898,Christopher Gilmore,53,Male,West Meagan,NULL,NULL,Single,"Doctor, hospital",robinhopkins@example.net,Books,5100,8900,14500,17800,22400
9913,Rebecca Smith,33,Other,North Karen,NULL,NULL,Widowed,"Administrator, education",caleb70@example.net,Books,9000,9300,8000,16400,18900
7576,Calvin Garcia,40,Female,Daniellehaven,NULL,NULL,Married,"Surveyor, insurance",seth10@example.net,Furniture,15800,16300,14700,18300,20200
7870,Anthony Walker,18,Male,Port Sylvia,NULL,NULL,Single,Academic librarian,briancontreras@example.net,Other,13700,17800,8300,12100,16500
1390,Jacob Campbell,43,Male,Port Nicole,NULL,NULL,Divorced,Occupational therapist,moontiffany@example.net,Furniture,12100,12800,1400,4400,7100
2006,Terry Chen,42,Female,North Susan,NULL,NULL,Single,"Lighting technician, broadcasting/film/video",michelle05@example.org,Appliances,8900,12600,13800,15000,12500
5930,Joseph Moss,52,Other,Taraton,NULL,NULL,Divorced,Computer games developer,victor89@example.net,Appliances,10500,15000,12000,12600,17500
1660,Pamela Randall,64,Male,North John,NULL,NULL,Single,Personnel officer,jill70@example.org,Electronics,13600,18300,5500,10500,14700
7337,Justin Fisher,19,Male,East John,NULL,NULL,Married,"Teacher, English as a foreign language",angelacervantes@example.net,Clothing,7600,13100,3700,11000,8400
4881,Jessica Mora,35,Female,East Amyville,NULL,NULL,Divorced,"Editor, film/video",barnesronnie@example.org,Electronics,7300,9100,3400,10400,9100
1107,Amy Bishop,43,Female,West Roberttown,NULL,NULL,Divorced,"Optician, dispensing",tylerjackson@example.org,Appliances,14700,17800,14400,20600,21300
9983,Eduardo Suarez,41,Male,Port Davidport,NULL,NULL,Divorced,Product designer,hayesantonio@example.org,Clothing,7400,14100,4800,6700,3900
