Customer ID,Customer Name,Age,Gender,Location,Marital Status,Designation,Email ID,Earning,Earning Potential,Spending Limit,Purchased Product Type
2457,Susan Hawkins,37,Male,Danielleland,Single,Amenity horticulturist,savannahbaker@example.com,46980,51440,3490,Clothing
4710,Edward Trujillo,30,Male,North Taylorton,Married,Retail merchandiser,kathy69@example.org,51440,65340,2790,Clothing
8398,Hayley Wolfe,40,Male,North Ambershire,Widowed,"Exhibitions officer, museum/gallery",paul39@example.com,65340,89130,780,Appliances
7475,Toni Howell,38,Other,North Tonyland,Single,Furniture conservator/restorer,jenningsmckenzie@example.org,89130,129040,2720,Electronics
9967,John Macdonald,59,Male,Newmanton,Widowed,Production manager,melissa54@example.net,129040,175710,4210,Clothing
7045,Jaime Henderson,18,Other,Elizabethview,Single,Records manager,sarah87@example.net,175710,247160,1610,Electronics
1787,Mitchell Bennett,57,Male,West Davidfurt,Widowed,Oncologist,mario35@example.net,247160,365370,1030,Books
7989,Deborah Pierce,62,Male,Cindyberg,Divorced,"Radiographer, diagnostic",alvarezmelissa@example.com,365370,441910,4340,Other
3502,Charles Miles,33,Other,Cherylbury,Divorced,Translator,simpsontamara@example.net,441910,551830,3800,Electronics
5664,Jose Harris,63,Other,Jeffreyshire,Married,Arboriculturist,vmedina@example.org,551830,655810,3630,Appliances
4019,Robin Young,52,Female,Sarahville,Married,Retail merchandiser,aliciamoore@example.com,655810,771860,4230,Clothing
7653,Maria Gould,38,Female,East Laura,Married,Pharmacologist,vmcknight@example.net,771860,967620,3040,Clothing
3363,Gary Gomez,39,Female,Michaelville,Married,Recycling officer,dianalopez@example.org,967620,1292340,3330,Electronics
2838,Danielle Morales,46,Other,Lake Jillshire,Divorced,Purchasing manager,galvanjennifer@example.net,1292340,1666690,3240,Appliances
2903,Lisa Nielsen,35,Other,North Gary,Widowed,"Investment banker, operational",philip90@example.com,1666690,2181150,2400,Furniture
3788,Joshua Jackson DDS,22,Female,East Benjamin,Widowed,"Lecturer, higher education",jasonsanders@example.com,2181150,2794530,2990,Books
5284,Yolanda Rodriguez,47,Female,Salinasfort,Widowed,Printmaker,tinamunoz@example.net,2794530,3286290,3280,Books
7326,Steven Fleming,36,Female,New Lauraport,Divorced,Chiropractor,olester@example.net,3286290,4122750,4110,Books
5672,Mr. Eric Smith,37,Male,Port Johnnyland,Widowed,"Lecturer, higher education",msmith@example.org,4122750,4718440,2560,Other
3437,Ronald Byrd,39,Male,Lake Lori,Widowed,Volunteer coordinator,pmoore@example.net,4718440,5984010,2900,Appliances
4724,Tiffany Keller,36,Other,New Todd,Single,Technical author,johnrandall@example.com,5984010,6929590,4070,Clothing
9754,Michael Lynch,60,Other,Davenportton,Widowed,Warehouse manager,kristina85@example.com,6929590,8061420,1270,Electronics
1857,Mallory Hicks,28,Female,Snowchester,Married,Midwife,savagemary@example.com,8061420,8218960,2300,Books
2092,Gloria Marshall,56,Male,East Anthonyfort,Single,Armed forces technical officer,wilsonryan@example.org,8218960,8955140,2910,Furniture
4767,Mary Barnett,40,Other,Matthewmouth,Single,"Administrator, sports",allen82@example.net,8955140,8957580,4450,Books
9898,Christopher Gilmore,53,Male,West Meagan,Single,"Doctor, hospital",robinhopkins@example.net,8957580,10324150,4170,Books
9913,Rebecca Smith,33,Other,North Karen,Widowed,"Administrator, education",caleb70@example.net,10324150,14735710,4980,Books
7576,Calvin Garcia,40,Female,Daniellehaven,Married,"Surveyor, insurance",seth10@example.net,14735710,21554320,2510,Furniture
7870,Anthony Walker,18,Male,Port Sylvia,Single,Academic librarian,briancontreras@example.net,21554320,28879090,3740,Other
1390,Jacob Campbell,43,Male,Port Nicole,Divorced,Occupational therapist,moontiffany@example.net,28879090,29128710,4860,Furniture
2006,Terry Chen,42,Female,North Susan,Single,"Lighting technician, broadcasting/film/video",michelle05@example.org,29128710,40303270,1360,Appliances
5930,Joseph Moss,52,Other,Taraton,Divorced,Computer games developer,victor89@example.net,40303270,51779270,2760,Appliances
1660,Pamela Randall,64,Male,North John,Single,Personnel officer,jill70@example.org,51779270,55973270,4450,Electronics
7337,Justin Fisher,19,Male,East John,Married,"Teacher, English as a foreign language",angelacervantes@example.net,55973270,80840950,1050,Clothing
4881,Jessica Mora,35,Female,East Amyville,Divorced,"Editor, film/video",barnesronnie@example.org,80840950,91029540,3210,Electronics
1107,Amy Bishop,43,Female,West Roberttown,Divorced,"Optician, dispensing",tylerjackson@example.org,91029540,134482130,3010,Appliances
9983,Eduardo Suarez,41,Male,Port Davidport,Divorced,Product designer,hayesantonio@example.org,134482130,159887810,4040,Clothing
7247,Stacey Vaughn,25,Female,Wagnerfort,Divorced,Rural practice surveyor,vhuff@example.com,159887810,194758380,2650,Furniture
8374,Travis Morton,45,Male,Tiffanystad,Married,"Psychologist, educational",bensonlinda@example.net,194758380,212364540,3240,Furniture
5397,Tracy Price,33,Male,Lake Brookebury,Divorced,Environmental consultant,emilybenson@example.com,212364540,215486250,2750,Appliances
7896,Angela Young,42,Female,West Samantha,Divorced,Emergency planning/management officer,krose@example.org,215486250,250576060,3190,Books
5972,Maria Clements,45,Female,Dylanport,Married,"Therapist, sports",mikestafford@example.com,250576060,353824610,1540,Clothing
